1,2,65.2,14.8
2,1,65.2,14.8
2,3,44.4,27.2
3,2,44.4,27.2
3,4,64.1,21.3
4,3,64.1,21.3
4,5,56.4,21.3
5,4,56.4,21.3
5,6,62.1,29.2
6,5,62.1,29.2
6,7,34.1,10.8
7,6,34.1,10.8
7,8,68.9,17.4
8,7,68.9,17.4
1,3,50.0,42.3
3,1,50.0,42.3
1,4,68.9,17.1
4,1,68.9,17.1
1,5,61.7,11.0
5,1,61.7,11.0
2,5,51.5,28.6
5,2,51.5,28.6
3,6,22.0,48.6
6,3,22.0,48.6
4,7,37.4,10.1
7,4,37.4,10.1
5,8,30.5,42.9
8,5,30.5,42.9
6,8,61.9,48.3
8,6,61.9,48.3
2,8,25.7,26.4
8,2,25.7,26.4
1,8,35.2,26.3
8,1,35.2,26.3
3,5,72.4,16.5
5,3,72.4,16.5
